Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Laredo, Texas,0.065,0.059,1.87,1.85,,,,,
Las Cruces, New Mexico,0.061,0.082,1.75,1.73,,,,,
Las Vegas, Nevada,0.102,0.105,1.62,1.63,,,,,
League City, Texas,0.026,0.01,2.04,2.15,,,,,
Lehigh Acres, Florida,0.035,0.042,1.85,1.81,,,,,
Lewisville, Texas,0.041,0.043,1.76,1.78,,,,,
Lexington, Kentucky,0.072,0.074,1.64,1.7,,,,,
Lincoln, Nebraska,0.063,0.058,1.74,1.78,,,,,
Little Rock, Arkansas,0.082,0.089,1.59,1.58,,,,,
Long Beach, California,0.104,0.101,1.64,1.69,,,,,
Los Angeles, California,0.121,0.122,1.59,1.62,,,,,
Louisville/Jefferson County, Kentucky,0.117,0.109,1.6,1.61,,,,,
Lowell, Massachusetts,0.176,0.169,1.35,1.52,,,,,
Lubbock, Texas,0.073,0.056,1.67,1.74,,,,,
Macon-Bibb County, Georgia,0.132,0.133,1.55,1.6,,,,,
Madison, Wisconsin,0.112,0.112,1.51,1.5,,,,,
Manchester, New Hampshire,0.081,0.135,1.6,1.56,,,,,
McAllen, Texas,0.069,0.076,1.72,1.72,,,,,
McKinney, Texas,0.038,0.024,1.89,1.95,,,,,
Memphis, Tennessee,0.118,0.125,1.49,1.47,,,,,
Mesa, Arizona,0.074,0.068,1.67,1.78,,,,,
Mesquite, Texas,0.047,0.037,1.92,1.96,,,,,
Metairie, Louisiana,0.063,0.072,1.6,1.6,,,,,
Miami Gardens, Florida,0.065,0.053,1.75,1.71,,,,,
Miami, Florida,0.199,0.186,1.19,1.24,,,,,
Midland, Texas,0.057,0.037,2.05,1.93,,,,,
Milwaukee, Wisconsin,0.179,0.187,1.3,1.34,,,,,
Minneapolis, Minnesota,0.182,0.171,1.33,1.35,,,,,
Miramar, Florida,0.025,0.023,1.97,2,,,,,
Mobile, Alabama,0.097,0.083,1.6,1.65,,,,,
Modesto, California,0.081,0.072,1.82,1.86,,,,,
Montgomery, Alabama,0.085,0.11,1.68,1.62,,,,,
Moreno Valley, California,0.05,0.029,2.22,2.32,,,,,
Murfreesboro, Tennessee,0.038,0.038,1.82,1.96,,,,,
Murrieta, California,0.035,0.007,2.12,2.36,,,,,
Naperville, Illinois,0.033,0.044,1.89,1.91,,,,,
