id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
28697793,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.85,$190.00 ,Entire home/apt,1,2,2
15743774,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.55,$180.00 ,Entire home/apt,1,1,1
7147961,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.50,$230.00 ,Entire home/apt,1,3,3
23860542,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,23.08,$171.00 ,Entire home/apt,1,2,3
32993672,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.49,$150.00 ,Entire home/apt,1,2,3
31194781,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.33,$165.00 ,Entire home/apt,1,1,1
22872538,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,22.78,$140.00 ,Entire home/apt,1,1,1
22267512,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.44,$151.00 ,Entire home/apt,1,1,3
31177708,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.96,$142.00 ,Entire home/apt,1,2,2
17943413,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,22.98,$150.00 ,Private room,1,1,1
12053404,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.41,$235.00 ,Entire home/apt,1,3,6
23668217,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.51,$191.00 ,Entire home/apt,1,2,2
23610320,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.86,$200.00 ,Entire home/apt,2.5,3,3
24922899,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,23.77,$245.00 ,Entire home/apt,1,1,1
30110367,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.28,$185.00 ,Entire home/apt,1,0,2
21179793,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.26,$170.00 ,Entire home/apt,1,1,1
23311596,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.66,$150.00 ,Entire home/apt,1,0,1
22737294,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.49,$175.00 ,Entire home/apt,1,0,1
28940121,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.23,$250.00 ,Entire home/apt,2,3,3
23294252,Australia,NSW,BALLINA SHIRE COUNCIL,House,22.76,$220.00 ,Entire home/apt,2,3,3
14875226,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.08,$150.00 ,Entire home/apt,1,1,3
20040248,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.49,$150.00 ,Entire home/apt,1,3,3
31008737,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.23,$194.00 ,Entire home/apt,1,1,1
30824080,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.40,$194.00 ,Entire home/apt,1,1,1
23470726,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.44,$230.00 ,Entire home/apt,2,2,2
30514036,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.35,$202.00 ,Entire home/apt,1,2,4
19335117,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.51,$240.00 ,Entire home/apt,2.5,4,5
11743983,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,21.56,$165.00 ,Entire home/apt,1,1,1
21373955,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.53,$207.00 ,Entire home/apt,1,0,1
5622967,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.15,$175.00 ,Entire home/apt,1,1,2
11781126,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,22.07,$180.00 ,Entire home/apt,1,2,2
16757055,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.52,$290.00 ,Entire home/apt,2,3,4
19831292,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.80,$260.00 ,Entire home/apt,2,2,3
29597541,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.32,$230.00 ,Entire home/apt,2,3,3
20973038,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.55,$264.00 ,Entire home/apt,1,1,1
16054025,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,24.11,$216.00 ,Entire home/apt,1,3,4
2521456,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.44,$250.00 ,Private room,1,2,2
31725216,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,23.23,$190.00 ,Entire home/apt,1,1,1
28127609,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.60,$250.00 ,Entire home/apt,2,2,2
22485768,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.89,$180.00 ,Entire home/apt,1,1,1
33496183,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,26.27,$240.00 ,Private room,1,2,2
29015914,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.54,$299.00 ,Entire home/apt,2,3,5
32458190,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.17,$248.00 ,Entire home/apt,1,2,3
30776990,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,29.23,$300.00 ,Entire home/apt,2,3,4
32926480,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.95,$270.00 ,Entire home/apt,1,0,1
30824064,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,25.43,$204.00 ,Entire home/apt,1,1,1
29264850,Australia,NSW,BALLINA SHIRE COUNCIL,House,29.17,$321.00 ,Entire home/apt,2,3,3
23062742,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,27.49,$306.00 ,Private room,1,1,2
19256406,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.74,$275.00 ,Private room,1,2,3
17499186,Australia,NSW,BALLINA SHIRE COUNCIL,House,26.20,$339.00 ,Entire home/apt,3,3,3
21384984,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.67,$211.00 ,Entire home/apt,2,1,2
17530393,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,23.28,$204.00 ,Entire home/apt,2,1,1
22752258,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,30.91,$355.00 ,Entire home/apt,1,1,1
17794437,Australia,New South Wales,BALLINA SHIRE COUNCIL,Apartment,30.68,$329.00 ,Entire home/apt,1,1,1
28591264,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,28.02,$289.00 ,Entire home/apt,1,1,1
16530860,Australia,NSW,BALLINA SHIRE COUNCIL,House,25.56,$280.00 ,Entire home/apt,2,2,2
31132884,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,24.86,$250.00 ,Entire home/apt,1,1,1
5163899,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.89,$209.00 ,Entire home/apt,2.5,3,3
31571822,Australia,,BALLINA SHIRE COUNCIL,House,27.27,$242.00 ,Entire home/apt,1,2,3
20196357,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.12,$349.00 ,Entire home/apt,1.5,4,5
33024129,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.48,$210.00 ,Entire home/apt,1,1,1
30964165,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.57,$291.00 ,Private room,1,1,1
33535366,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.37,$254.00 ,Entire home/apt,1,1,2
4078002,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.33,$299.00 ,Entire home/apt,2,4,7
2406659,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,30.75,$398.00 ,Entire home/apt,1,2,2
8132438,Australia,NSW,BALLINA SHIRE COUNCIL,House,24.02,$254.00 ,Entire home/apt,2,2,3
22053740,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,27.42,$401.00 ,Entire home/apt,1,2,2
19911991,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.22,$280.00 ,Entire home/apt,2,3,4
32595129,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,24.54,$286.00 ,Entire home/apt,1,1,1
30697417,Australia,,BALLINA SHIRE COUNCIL,House,29.18,$383.00 ,Entire home/apt,2,2,3
28056773,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,25.34,$245.00 ,Entire home/apt,1,0,1
30802888,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.02,$250.00 ,Entire home/apt,1,1,1
22192023,Australia,NSW,BALLINA SHIRE COUNCIL,House,28.38,$359.00 ,Private room,1.5,2,3
32244522,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,29.29,$421.00 ,Entire home/apt,1,1,1
4646286,Australia,NSW,BALLINA SHIRE COUNCIL,House,23.59,$244.00 ,Entire home/apt,1,2,2
27232433,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.73,$255.00 ,Entire home/apt,2.5,3,3
29405088,Australia,NSW,BALLINA SHIRE COUNCIL,Loft,25.18,$319.00 ,Entire home/apt,1,1,1
30185550,Australia,NSW,BALLINA SHIRE COUNCIL,House,27.50,$370.00 ,Entire home/apt,2,4,5
